,desigcomercial,numbicicletas,numdocasvacias,position,add_data,add_hora,_lat_,_lng_,_type_,_name_
0,303 - Avenida da Liberdade / Rua das Pretas,0,16,"{""coordinates"": [-9.14455, 38.71957], ""type"": ""Point""}",2019-07-01,16:35:49.,38.71957,-9.14455,GIRABIKE,303 - Avenida da Liberdade / Rua das Pretas
1,205 - Av. Brasília / Cordoaria,1,9,"{""coordinates"": [-9.188, 38.697], ""type"": ""Point""}",2021-06-28,09:02:06.,38.697,-9.188,GIRABIKE,205 - Av. Brasília / Cordoaria
2,203 - Padrão dos Descobrimentos,0,22,"{""coordinates"": [-9.20633, 38.6935], ""type"": ""Point""}",2021-06-28,10:02:53.,38.6935,-9.20633,GIRABIKE,203 - Padrão dos Descobrimentos
3,113 - Alameda dos Oceanos/ Passeio do Levante,7,7,"{""coordinates"": [-9.09825, 38.78414], ""type"": ""Point""}",2021-07-04,11:11:49.,38.78414,-9.09825,GIRABIKE,113 - Alameda dos Oceanos/ Passeio do Levante
4,443 - Av. de Roma / Fórum Lisboa,3,11,"{""coordinates"": [-9.13866, 38.74351], ""type"": ""Point""}",2021-07-04,11:11:50.,38.74351,-9.13866,GIRABIKE,443 - Av. de Roma / Fórum Lisboa
5,104 - Gare do Oriente,5,35,"{""coordinates"": [-9.097322, 38.766716], ""type"": ""Point""}",2021-07-04,11:11:50.,38.766716,-9.097322,GIRABIKE,104 - Gare do Oriente
6,403 - Av. Fontes Pereira de Melo,1,19,"{""coordinates"": [-9.146522, 38.731698], ""type"": ""Point""}",2021-07-04,11:11:50.,38.731698,-9.146522,GIRABIKE,403 - Av. Fontes Pereira de Melo
7,106 - Jardim Garcia da Orta,7,7,"{""coordinates"": [-9.092506, 38.769459], ""type"": ""Point""}",2021-07-04,11:11:50.,38.769459,-9.092506,GIRABIKE,106 - Jardim Garcia da Orta
8,479 - Rua Professor Oliveira Marques,3,12,"{""coordinates"": [-9.15724, 38.75491], ""type"": ""Point""}",2021-07-04,11:11:50.,38.75491,-9.15724,GIRABIKE,479 - Rua Professor Oliveira Marques
9,426 - Av. Elias Garcia / Av. 5 de Outubro,6,8,"{""coordinates"": [-9.14793, 38.739046], ""type"": ""Point""}",2021-07-04,11:11:51.,38.739046,-9.14793,GIRABIKE,426 - Av. Elias Garcia / Av. 5 de Outubro
10,481 - Campo Grande / Museu da Cidade,3,17,"{""coordinates"": [-9.156169, 38.758207], ""type"": ""Point""}",2021-07-04,11:11:52.,38.758207,-9.156169,GIRABIKE,481 - Campo Grande / Museu da Cidade
11,478 - Alameda da Universidade / Faculdade de Letras,13,19,"{""coordinates"": [-9.15717, 38.75359], ""type"": ""Point""}",2021-07-04,11:11:52.,38.75359,-9.15717,GIRABIKE,478 - Alameda da Universidade / Faculdade de Letras
12,430 - Av. Barbosa Du Bocage / Rua Arco do Cego,3,17,"{""coordinates"": [-9.14329, 38.74081], ""type"": ""Point""}",2021-07-04,11:11:53.,38.74081,-9.14329,GIRABIKE,430 - Av. Barbosa Du Bocage / Rua Arco do Cego
13,414 - Av. Duque de Ávila / Rua Pinheiro Chagas,17,2,"{""coordinates"": [-9.151, 38.735], ""type"": ""Point""}",2021-07-04,11:11:53.,38.735,-9.151,GIRABIKE,414 - Av. Duque de Ávila / Rua Pinheiro Chagas
14,475 - Av. Professor Gama Pinto / Cantina Velha,10,31,"{""coordinates"": [-9.15907, 38.75115], ""type"": ""Point""}",2021-07-04,11:11:53.,38.75115,-9.15907,GIRABIKE,475 - Av. Professor Gama Pinto / Cantina Velha
15,301 - Avenida da Liberdade / Restauradores,12,10,"{""coordinates"": [-9.14242, 38.71702], ""type"": ""Point""}",2021-07-04,11:11:53.,38.71702,-9.14242,GIRABIKE,301 - Avenida da Liberdade / Restauradores
16,105 - CC Vasco da Gama,14,26,"{""coordinates"": [-9.096222, 38.768548], ""type"": ""Point""}",2021-07-04,11:11:51.,38.768548,-9.096222,GIRABIKE,105 - CC Vasco da Gama
17,222 - Praça da Figueira,16,14,"{""coordinates"": [-9.13828, 38.71383], ""type"": ""Point""}",2021-07-04,11:11:51.,38.71383,-9.13828,GIRABIKE,222 - Praça da Figueira
18,408 - Praça Duque de Saldanha,2,8,"{""coordinates"": [-9.144117, 38.733749], ""type"": ""Point""}",2021-07-04,11:11:51.,38.733749,-9.144117,GIRABIKE,408 - Praça Duque de Saldanha
19,433 - Av. Paris / Av. Almirante Reis,7,7,"{""coordinates"": [-9.13409, 38.74095], ""type"": ""Point""}",2021-07-04,11:11:51.,38.74095,-9.13409,GIRABIKE,433 - Av. Paris / Av. Almirante Reis
20,449 - Av. 5 de Outubro / Rua da Cruz Vermelha,6,8,"{""coordinates"": [-9.150085, 38.746836], ""type"": ""Point""}",2021-07-04,11:11:51.,38.746836,-9.150085,GIRABIKE,449 - Av. 5 de Outubro / Rua da Cruz Vermelha
21,406 - Praça Duque de Saldanha,2,15,"{""coordinates"": [-9.145341, 38.734247], ""type"": ""Point""}",2021-07-04,11:11:52.,38.734247,-9.145341,GIRABIKE,406 - Praça Duque de Saldanha
22,457 - Rua Aboim Ascensão,3,7,"{""coordinates"": [-9.14722, 38.74975], ""type"": ""Point""}",2021-07-04,11:11:52.,38.74975,-9.14722,GIRABIKE,457 - Rua Aboim Ascensão
23,218 - Cais do Sodré,9,13,"{""coordinates"": [-9.14471, 38.70617], ""type"": ""Point""}",2021-07-04,11:11:52.,38.70617,-9.14471,GIRABIKE,218 - Cais do Sodré
24,224 - Martim Moniz,3,19,"{""coordinates"": [-9.13651, 38.71498], ""type"": ""Point""}",2021-07-04,11:11:52.,38.71498,-9.13651,GIRABIKE,224 - Martim Moniz
25,474 - Av. do Brasil / Av. Rio de Janeiro,5,11,"{""coordinates"": [-9.1409, 38.75832], ""type"": ""Point""}",2021-07-04,11:11:52.,38.75832,-9.1409,GIRABIKE,474 - Av. do Brasil / Av. Rio de Janeiro
26,416 - Av. República / Avenida Duque de Ávila,0,16,"{""coordinates"": [-9.14553, 38.735304], ""type"": ""Point""}",2021-07-04,11:11:52.,38.735304,-9.14553,GIRABIKE,416 - Av. República / Avenida Duque de Ávila
27,480 - Faculdade de Ciências,17,8,"{""coordinates"": [-9.15503, 38.75587], ""type"": ""Point""}",2021-07-04,11:11:52.,38.75587,-9.15503,GIRABIKE,480 - Faculdade de Ciências
28,428 - Av. República / Avenida Barbosa Du Bocage,1,11,"{""coordinates"": [-9.14684, 38.74047], ""type"": ""Point""}",2021-07-04,11:11:52.,38.74047,-9.14684,GIRABIKE,428 - Av. República / Avenida Barbosa Du Bocage
29,401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,4,12,"{""coordinates"": [-9.14742, 38.72894], ""type"": ""Point""}",2021-07-04,11:11:53.,38.72894,-9.14742,GIRABIKE,401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo
30,413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,9,1,"{""coordinates"": [-9.15425, 38.73432], ""type"": ""Point""}",2021-07-04,11:11:53.,38.73432,-9.15425,GIRABIKE,413 - Av. Ressano Garcia / Av. António Augusto de Aguiar
31,477 - Alameda da Universidade / Faculdade de Direito,11,13,"{""coordinates"": [-9.15671, 38.75264], ""type"": ""Point""}",2021-07-04,11:11:53.,38.75264,-9.15671,GIRABIKE,477 - Alameda da Universidade / Faculdade de Direito
32,461 - Rua Professora Teresa Ambrósio,9,23,"{""coordinates"": [-9.155564, 38.749141], ""type"": ""Point""}",2021-07-04,11:11:53.,38.749141,-9.155564,GIRABIKE,461 - Rua Professora Teresa Ambrósio
33,208 - Cais das Pombas,8,14,"{""coordinates"": [-9.14373, 38.70523], ""type"": ""Point""}",2021-07-04,11:11:49.,38.70523,-9.14373,GIRABIKE,208 - Cais das Pombas
34,112 - Alameda dos Oceanos / Passeio das Garças,1,13,"{""coordinates"": [-9.09622, 38.78069], ""type"": ""Point""}",2021-07-04,11:11:49.,38.78069,-9.09622,GIRABIKE,112 - Alameda dos Oceanos / Passeio das Garças
35,109 - Alameda dos Oceanos / Rua Ilha dos Amores,0,14,"{""coordinates"": [-9.094672, 38.777589], ""type"": ""Point""}",2021-07-04,11:11:49.,38.777589,-9.094672,GIRABIKE,109 - Alameda dos Oceanos / Rua Ilha dos Amores
36,456 - Entrecampos / Av. das Forças Armadas,27,14,"{""coordinates"": [-9.14872, 38.74877], ""type"": ""Point""}",2021-07-04,11:11:50.,38.74877,-9.14872,GIRABIKE,456 - Entrecampos / Av. das Forças Armadas
37,103 - Jardim da Água,3,17,"{""coordinates"": [-9.095019, 38.761218], ""type"": ""Point""}",2021-07-04,11:11:50.,38.761218,-9.095019,GIRABIKE,103 - Jardim da Água
38,110 - Rua de Moscavide,3,15,"{""coordinates"": [-9.097068, 38.778466], ""type"": ""Point""}",2021-07-04,11:11:50.,38.778466,-9.097068,GIRABIKE,110 - Rua de Moscavide
39,102 - Porta do Mar,9,6,"{""coordinates"": [-9.096439, 38.759156], ""type"": ""Point""}",2021-07-04,11:11:50.,38.759156,-9.096439,GIRABIKE,102 - Porta do Mar
40,214 - Largo de Santos,16,8,"{""coordinates"": [-9.15424, 38.70673], ""type"": ""Point""}",2021-07-04,11:11:51.,38.70673,-9.15424,GIRABIKE,214 - Largo de Santos
41,412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,10,6,"{""coordinates"": [-9.1546, 38.73448], ""type"": ""Point""}",2021-07-04,11:11:51.,38.73448,-9.1546,GIRABIKE,412 - Av. Ressano Garcia / Av. António Augusto de Aguiar
42,114 - Via do Oriente,6,4,"{""coordinates"": [-9.09974, 38.78836], ""type"": ""Point""}",2021-07-04,11:11:51.,38.78836,-9.09974,GIRABIKE,114 - Via do Oriente
43,486 - Rua Hermano Neves / Rua José Escada,3,11,"{""coordinates"": [-9.16985, 38.75954], ""type"": ""Point""}",2021-07-04,11:11:51.,38.75954,-9.16985,GIRABIKE,486 - Rua Hermano Neves / Rua José Escada
44,490 - Rua Fernando Namora / Azinhaga da Torre do Fato,8,8,"{""coordinates"": [-9.17849, 38.76026], ""type"": ""Point""}",2021-07-04,11:11:51.,38.76026,-9.17849,GIRABIKE,490 - Rua Fernando Namora / Azinhaga da Torre do Fato
45,420 - Av. Rovisco Pais / Av. Manuel da Maia,8,18,"{""coordinates"": [-9.13672, 38.73617], ""type"": ""Point""}",2021-07-04,11:11:52.,38.73617,-9.13672,GIRABIKE,420 - Av. Rovisco Pais / Av. Manuel da Maia
46,207 - Av. Brasília / Santos {Rio},0,10,"{""coordinates"": [-9.151101, 38.705443], ""type"": ""Point""}",2020-04-15,14:19:12.,38.705443,-9.151101,GIRABIKE,207 - Av. Brasília / Santos {Rio}
47,222 - Praça da Figueira,5,25,"{""coordinates"": [-9.13828, 38.71383], ""type"": ""Point""}",2020-09-24,10:32:47.,38.71383,-9.13828,GIRABIKE,222 - Praça da Figueira
48,215 - Av. 24 de Julho,3,14,"{""coordinates"": [-9.14949, 38.70662], ""type"": ""Point""}",2020-09-24,10:32:43.,38.70662,-9.14949,GIRABIKE,215 - Av. 24 de Julho
49,103-Jardim da Ã�gua,2,18,"{""coordinates"": [-9.095019, 38.761218], ""type"": ""Point""}",2020-09-23,16:12:26.,38.761218,-9.095019,GIRABIKE,103-Jardim da Ã�gua
50,206 - Av. Brasília / Doca de Alcântara,3,19,"{""coordinates"": [-9.17502, 38.70141], ""type"": ""Point""}",2021-06-28,08:21:28.,38.70141,-9.17502,GIRABIKE,206 - Av. Brasília / Doca de Alcântara
51,305 - Avenida da Liberdade / Rua Barata Salgueiro,6,10,"{""coordinates"": [-9.147, 38.72228], ""type"": ""Point""}",2021-07-04,11:11:49.,38.72228,-9.147,GIRABIKE,305 - Avenida da Liberdade / Rua Barata Salgueiro
52,442 - Campo Pequeno,5,11,"{""coordinates"": [-9.14523, 38.743371], ""type"": ""Point""}",2021-07-04,11:11:49.,38.743371,-9.14523,GIRABIKE,442 - Campo Pequeno
53,452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,8,2,"{""coordinates"": [-9.136681, 38.747751], ""type"": ""Point""}",2021-07-04,11:11:49.,38.747751,-9.136681,GIRABIKE,452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros
54,483 - Rua Professor Francisco Lucas Pires ,7,9,"{""coordinates"": [-9.16405, 38.75939], ""type"": ""Point""}",2021-07-04,11:11:50.,38.75939,-9.16405,GIRABIKE,483 - Rua Professor Francisco Lucas Pires 
55,215 - Av. 24 de Julho,3,14,"{""coordinates"": [-9.14949, 38.70662], ""type"": ""Point""}",2021-07-04,11:11:50.,38.70662,-9.14949,GIRABIKE,215 - Av. 24 de Julho
56,446 - Av. República / Interface Entrecampos ,15,26,"{""coordinates"": [-9.14773, 38.74456], ""type"": ""Point""}",2021-07-04,11:11:50.,38.74456,-9.14773,GIRABIKE,446 - Av. República / Interface Entrecampos 
57,415 - Av. Duque de Ávila / Av. Conde Valbom,4,16,"{""coordinates"": [-9.148443, 38.735188], ""type"": ""Point""}",2021-07-04,11:11:51.,38.735188,-9.148443,GIRABIKE,415 - Av. Duque de Ávila / Av. Conde Valbom
58,453 - Av. Roma / Av. EUA,0,14,"{""coordinates"": [-9.14207, 38.74873], ""type"": ""Point""}",2021-07-04,11:11:51.,38.74873,-9.14207,GIRABIKE,453 - Av. Roma / Av. EUA
