X,Y,OBJECTID,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,TIPO_ESTACIONAMENTO,COD_SIG_PROPOSTA,NUM_SUPORTES,ESTADO,COD_SIG_HS,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,DATA_INSTALACAO,COBERTO,GlobalID
-9.18306188444916,38.6980302567533,1,ALCÂNTARA,"Av. Brasília, praça em frente do Centro de Congressos do outro lado da linha do comboio",Por baixo do viaduto pedonal,Passeio,HOTSPOT,18,2,CONCLUÍDO,18,5638,9222,,1970/01/01 00:00:00+00,,c67e668b-69ab-437c-a2eb-9af7cb32456f
-9.09534750999041,38.7715948210931,2,PARQUE DAS NAÇÕES,Av do Atlântico em frente ao 2.14.01 (FIL 2º Pav Sul),"implantado do lado oposto do quadrado no pavimento, mantendo o mesmo afastamento ao limite que os Sheffields já instalados do lado oposto",Passeio,HOTSPOT,510,2,CONCLUÍDO,510,5639,9222,,1970/01/01 00:00:00+00,,c1df9545-6c58-4603-9225-3223eb9aee3f
-9.09517736188907,38.7735445773987,3,PARQUE DAS NAÇÕES,Av do Atlântico em frente ao 2.14.01 (FIL 4º Pav Sul),"implantado do lado oposto do quadrado no pavimento, mantendo o mesmo afastamento ao limite que os Sheffields já instalados do lado oposto",Passeio,HOTSPOT,512,2,CONCLUÍDO,512,5640,9222,,1970/01/01 00:00:00+00,,ce7458d6-e83a-4fc0-ac72-d97246b1769b
-9.09523345359374,38.772961395509,4,PARQUE DAS NAÇÕES,Av do Atlântico em frente ao 2.14.01 (FIL 3º Pav Sul),"implantado do lado oposto do quadrado no pavimento, mantendo o mesmo afastamento ao limite que os Sheffields já instalados do lado oposto",Passeio,HOTSPOT,511,2,CONCLUÍDO,511,5641,9222,,1970/01/01 00:00:00+00,,349ff65a-2cd8-4fa1-825f-8c9d76c7f06f
-9.09968803020438,38.7884038178185,5,PARQUE DAS NAÇÕES,Rua do Oriente com a Rua Chen He,Atrás da doca GIRA,Passeio,HOTSPOT,520,2,CONCLUÍDO,520,5642,9222,,1970/01/01 00:00:00+00,,fdc4524f-74ef-4a68-8df7-5bc6948b1fa8
-9.09775278599455,38.7930851563806,6,PARQUE DAS NAÇÕES,"Passeio dos Heróis do Mar, em frente ao 100",Ao lado doca GIRA,Passeio,HOTSPOT,521,2,CONCLUÍDO,521,5643,9222,,1970/01/01 00:00:00+00,,0a598f75-99fa-4970-b565-8f4b6fd0e954
-9.1510827002593,38.7221027673711,7,SANTO ANTÓNIO,"Av Alexandre Herculano, esquina com a R . Castilho",lateral 46,Passeio,HOTSPOT,855,2,CONCLUÍDO,855,5644,9222,,1970/01/01 00:00:00+00,,40e1ef84-a272-4d71-adbf-b6de60d8ef67
-9.15025081089885,38.7214828345637,8,SANTO ANTÓNIO,"R Castilho, frente Novo Banco", lado oposto 15A,Passeio,HOTSPOT,857,2,CONCLUÍDO,857,5645,9222,,1970/01/01 00:00:00+00,,7f03c8c4-556f-4ebc-8e70-a164fc54f850
-9.14976782809308,38.7209163669798,9,SANTO ANTÓNIO,R Castilho em frente ao 22,"no lado oposto ao hotel Altis Grand Hotel, entre caldeiras",Passeio,HOTSPOT,860,2,CONCLUÍDO,860,5646,9222,,1970/01/01 00:00:00+00,,b4146cca-54c0-441b-9b97-cfbca41af4a5
-9.15122049733229,38.7205403407779,10,SANTO ANTÓNIO,"R Rodrigo da Fonseca, ao lado da porta com o n.º 15",entre caldeiras de árvores,Passeio,HOTSPOT,866,2,CONCLUÍDO,866,5647,9222,,1970/01/01 00:00:00+00,,17383442-54a3-4dad-8ad0-94d7bea27538
-9.1298732500258,38.7617835830395,11,ALVALADE,Av Almirante Gago Coutinho na esquina com a Rua Quinta da Graça,Entre caldeiras de árvores,Passeio,HOTSPOT,121,2,CONCLUÍDO,121,5629,9222,,1970/01/01 00:00:00+00,,eaad6835-7330-44d8-9c26-d614c9f57b56
-9.18336220202844,38.698558084441,12,ALCÂNTARA,"Pç das Indústrias, Centro de Congressos",Por baixo do viaduto pedonal,Passeio,HOTSPOT,19,2,CONCLUÍDO,19,5630,9222,,1970/01/01 00:00:00+00,,95045a76-114f-43eb-bc39-49195a2f0556
-9.15472920544097,38.7202857839181,13,SANTO ANTÓNIO,Lg do Rato em frente sede PS, entre o MUPI e a luminária e anda alinhado com os mesmos,Passeio,HOTSPOT,284,2,CONCLUÍDO,284,5631,9222,,1970/01/01 00:00:00+00,,7c67e99b-0d27-47cb-a04a-2cd606bb5522
-9.20152387781037,38.6968289215352,14,BELÉM,Praça Afonso Albuquerque perto postos Emob,Entre caldeiras de árvores,Passeio,HOTSPOT,4,2,CONCLUÍDO,4,5632,9222,,1970/01/01 00:00:00+00,,d11bda58-c1dd-4279-9430-22e87215c2ea
-9.20594145550947,38.6950104809439,15,BELÉM,Praça do Império perto saída passagem subterrânea,Na lateral que está virada para a Av. Índia,Passeio,HOTSPOT,5,2,CONCLUÍDO,5,5633,9222,,1970/01/01 00:00:00+00,,c9b7a091-99b1-4739-9946-1508bdb229f8
-9.16794328223489,38.7032242180482,16,ESTRELA,"Av. de Brasília entre Edifício Diogo Cão e Armazem H, perto do Outdoor",Quase em baixo do viaduto para a Infante Santo,Via,HOTSPOT,9,4,CONCLUÍDO,9,5634,9222,,1970/01/01 00:00:00+00,,5a18397a-9ff0-4f62-8624-989b7577ec4b
-9.21381204846452,38.6935525449823,17,BELÉM,Av Brasília perto da Vela latina na lateral da passagem superior comboio,Longe da saída da escada por causa da venda ambulante,Passeio,HOTSPOT,12,2,CONCLUÍDO,12,5635,9222,,1970/01/01 00:00:00+00,,b6be6bdb-1c5f-4764-84ea-3b3eccc23771
-9.21006982599269,38.6929462387679,18,BELÉM,"Av. Brasília ao lado da Cafetaria À Margem, próximo do poste iluminação",<Null>,Passeio,HOTSPOT,15,2,CONCLUÍDO,15,5636,9222,,1970/01/01 00:00:00+00,,779b25ab-c2dd-43d1-87f8-8dcce9e610f4
-9.19055291045061,38.6963599994431,19,BELÉM,Av. de Brasília perto pq infantil SUD,Ao lado da placa de toponímia até ao fim do canteiro,Passeio,HOTSPOT,22,2,CONCLUÍDO,22,5637,9222,,1970/01/01 00:00:00+00,,8156f563-ba39-417a-95de-5db61d978048
