,X,Y,OBJECTID,COD_SIG_ESTACIONAMENTO,COD_SIG_PROPOSTA,FREGUESIA,MORADA,MORADA_DETALHE,LOCALIZACAO,FOTO,TIPO_ESTACIONAMENTO,NUM_SUPORTES,MODELO,CAPACIDADE,FONTE_LEVANTAMENTO,BALIZADORES,DOMINIALIDADE,DATA_INSTALACAO,SV_TIPO,SV_NUM_SERIE,ESTACIONAMENTO_ESTADO,EST_ESTADO_OBS,OBS,DEPM_VALIDACAO,CTRL_EDICOES,COBERTO,COD_SIG,IDTIPO,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
0,-9.0946903995466,38.7776683176802,1,455,514.0,PARQUE DAS NAÇÕES,Alameda dos Oceanos com a Rua Comandante Cousteau,Ao lado estação GIRA,Via,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\455.jpg,BICICLETA,2.0,Sheffield Standard,4.0,DEPM,0.0,Público,2019/11/18 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26240,9207,,8a13d02b-4d59-4706-9b87-043089bf2f8e,38.7776683176802,-9.0946903995466,BICICLETA,Alameda dos Oceanos com a Rua Comandante Cousteau - Ao lado estação GIRA - Via
1,-9.16426079683114,38.7645125707422,2,456,361.0,LUMIAR,Instituto Ricardo Jorge,Localização junto à rampa de acesso de pessoas com mobilidae reduzida,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\456.jpg,BICICLETA,3.0,Sheffield Standard,6.0,"INSTITUTO
",0.0,Público,2019/11/13 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2020/01/08 00:00:00+00,NÃO,26241,9207,,08fd97a6-3af4-4caf-9b7e-e528f5af1fcb,38.7645125707422,-9.16426079683114,BICICLETA,Instituto Ricardo Jorge - Localização junto à rampa de acesso de pessoas com mobilidae reduzida - Passeio
2,-9.14430507403569,38.7465986686189,3,457,400.0,ALVALADE,"R Jorge Ferreira de Vasconcelos, - EB S. Miguel",No interior da escola,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\457.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,2019/10/25 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26242,9207,,ff7905d6-6c77-4dd5-8295-97251961be63,38.7465986686189,-9.14430507403569,BICICLETA,"R Jorge Ferreira de Vasconcelos, - EB S. Miguel - No interior da escola - Passeio"
3,-9.14032898236614,38.7401994234387,4,458,390.0,AREEIRO,Av Magalhães Lima 5 edificio lateral esquerdo - EscolaB  Filipa de Lencastre ,No interior da escola,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\458.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,2019/10/29 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26243,9207,,e68df587-c827-4353-8a91-d466e4ecebbd,38.7401994234387,-9.14032898236614,BICICLETA,Av Magalhães Lima 5 edificio lateral esquerdo - EscolaB  Filipa de Lencastre  - No interior da escola - Passeio
4,-9.13992944945701,38.7392490681923,5,459,391.0,AREEIRO,Av Magalhães Lima 5 edificio lateral direito - EscolaB  Filipa de Lencastre ,No interior da escola,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\459.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,0.0,Público,2019/10/29 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26244,9207,,a36bbcd4-bd30-4298-bce7-e79f5750a366,38.7392490681923,-9.13992944945701,BICICLETA,Av Magalhães Lima 5 edificio lateral direito - EscolaB  Filipa de Lencastre  - No interior da escola - Passeio
5,-9.145363026234,38.7468588809558,6,460,388.0,ALVALADE,"R Jorge Ferreira de Vasconcelos, - EB S. Miguel",No interior da escola,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\460.jpg,BICICLETA,6.0,Sheffield Standard,12.0,DEPM,0.0,Público,2019/10/24 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26245,9207,,70699a06-af4b-456a-ad8f-568e1d372e50,38.7468588809558,-9.145363026234,BICICLETA,"R Jorge Ferreira de Vasconcelos, - EB S. Miguel - No interior da escola - Passeio"
6,-9.15879218485974,38.7346459303552,7,461,377.0,CAMPOLIDE,Escola Preparatória Marquesa de Alorna,No interior da escola,Via,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\461.jpg,BICICLETA,4.0,Sheffield Standard,8.0,DEPM,,Público,2019/10/28 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26246,9207,,2699e59c-a936-426c-a9ab-d5b1fb3306be,38.7346459303552,-9.15879218485974,BICICLETA,Escola Preparatória Marquesa de Alorna - No interior da escola - Via
7,-9.12120839364595,38.7394708382899,8,462,374.0,BEATO,"R Professor Mira Fernandes, EB23 Olaias",No interior da escola,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\462.jpg,BICICLETA,5.0,Sheffield Standard,10.0,DEPM,0.0,Público,2019/11/11 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26247,9207,,d9a6af9a-063a-440e-aeca-16df8be49643,38.7394708382899,-9.12120839364595,BICICLETA,"R Professor Mira Fernandes, EB23 Olaias - No interior da escola - Passeio"
8,-9.15838724948249,38.7350776631443,9,463,387.0,CAMPOLIDE,Escola Preparatória Marquesa de Alorna,No interior da escola,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\463.jpg,BICICLETA,3.0,Sheffield Standard,6.0,DEPM,0.0,Público,2019/10/28 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26248,9207,,c481d6cb-bf1e-4e8b-ab3f-be857780e2b1,38.7350776631443,-9.15838724948249,BICICLETA,Escola Preparatória Marquesa de Alorna - No interior da escola - Passeio
9,-9.15049730771452,38.7672423134805,10,464,383.0,LUMIAR,"Av Maria Helena Vieira da Silva, colégio S. Tomás",No interior da escola - à direita após a entrada. ,Passeio,K:\1 Planeamento\0_REDES\Estacionamento MaaS DOCKLESS\Fotos\existentes\464.jpg,BICICLETA,5.0,Sheffield Standard,10.0,DEPM,0.0,Público,2019/10/30 00:00:00+00,,,,,,1970/01/01 00:00:00+00,2021/02/03 00:00:00+00,NÃO,26249,9207,,9c5457a0-f8d5-4d8b-b887-6cb8e59b7ae2,38.7672423134805,-9.15049730771452,BICICLETA,"Av Maria Helena Vieira da Silva, colégio S. Tomás - No interior da escola - à direita após a entrada.  - Passeio"
