,X,Y,OBJECTID,COD_SIG,IDTIPO,MORADA,DESIGNACAO,TIPOLOGIA,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
0,-9.14606908947091,38.7099629258795,1,4904,4,Travessa da Laranjeira,Fontanário na Travessa da Laranjeira,Fontanário,,2eb707a7-8791-4e39-9db9-cc13dcbf3bc2,0.0,0.0,,
1,-9.2146783531818,38.7156940855157,2,4007,4,Rua Sam Levy(antigo Troço da Estrada de Caselas),Fontanário na Rua Sam Levy,Fontanário,,3f50e050-02ad-4b73-ba53-9fc3b57bcce7,0.0,0.0,,
2,-9.12813441167303,38.7113079999168,3,4703,4,Largo do Chafariz de Dentro,Reservatório do Chafariz de Dentro,Reservatório,,49e8b3e0-efad-4be5-910a-ed24faa84341,0.0,0.0,,
3,-9.14676193579502,38.7089222089291,4,4905,4,Largo de Santo Antoninho,Fontanário no Largo de Santo Antoninho,Fontanário,,98b49bb4-9743-4c8b-8c32-b339a253a7cf,0.0,0.0,,
4,-9.15448657138105,38.7303708929669,5,5002,4,Alameda Cardeal Cerejeira,Lago do Monumento ao 25 de Abril de 1974,Lago,,259a03be-cf97-4fbd-97c4-e0efa1ba5ad2,0.0,0.0,,
5,-9.12964541750678,38.7097181289075,6,5202,4,Travessa do Chafariz de El-Rei,Depósito do Chafariz d'El Rey,Reservatório,,d215905f-3cdc-43e9-94ac-26ac79d0586f,0.0,0.0,,
6,-9.1452230848824,38.7178672592848,7,4510,4,Praça da Alegria,Lago do Jardim Alfredo Keil,Lago,,1b7fea54-bb11-49c4-9433-316e4b42fb81,0.0,0.0,,
7,-9.13384624250759,38.7159650139069,8,5301,4,Rua da Guia,Fontanário da Rua da Guia,Fontanário,,b5bd6eb1-1154-4ea5-8c76-9b4b486cc141,0.0,0.0,,
8,-9.15483988866377,38.7288785726626,9,5003,4,Parque Eduardo VII de Inglaterra,Lago da Estufa Fria,Lago,,a798949b-fa01-423b-ac0f-8f69a89acd2b,0.0,0.0,,
9,-9.19461199926588,38.7427400840742,10,804,4,"Travessa de Francisco Rezende, Quinta da Fonte",Lago da Quinta da Fonte,,,198299df-e885-4813-9524-03c48d61a21d,0.0,0.0,,
